Date,Period,Demand (MW),Solar (MW),TCL (MW),USEP ($/MWh),EHEUR ($/MWh),LCP ($/MWh),RUSEP ($/MWh),MAP ($/MWh),MAPT ($/MWh),TPC Applied,Last Updated
18-May-2026,00:00-00:30,6493.901,0.0,0.0,179.59,-0.76,0.0,179.59,165.6,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,00:30-01:00,6377.35,0.0,0.0,178.57,-0.73,0.0,178.57,165.84,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,01:00-01:30,6251.967,0.0,0.0,177.33,-0.73,0.0,177.33,166.05,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,01:30-02:00,6181.815,0.0,0.0,177.2,-0.71,0.0,177.2,166.26,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,02:00-02:30,6119.168,0.0,0.0,177.26,-0.69,0.0,177.26,166.48,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,02:30-03:00,6067.396,0.0,0.0,176.1,-0.68,0.0,176.1,166.67,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,03:00-03:30,6028.038,0.0,0.0,177.21,-0.67,0.0,177.21,166.88,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,03:30-04:00,6007.244,0.0,0.0,177.21,-0.67,0.0,177.21,167.09,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,04:00-04:30,6009.356,0.0,0.0,177.21,-0.67,0.0,177.21,167.31,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,04:30-05:00,6049.608,0.0,0.0,179.32,-0.71,0.0,179.32,167.57,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,05:00-05:30,6151.106,0.0,0.0,183.3,-0.74,0.0,183.3,167.87,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,05:30-06:00,6314.837,0.0,0.0,184.77,-0.77,0.0,184.77,168.06,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,06:00-06:30,6505.665,0.0,0.0,184.8,-0.77,0.0,184.8,168.24,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,06:30-07:00,6700.584,0.0,0.0,187.71,-0.81,0.0,187.71,168.48,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,07:00-07:30,6928.732,6.77,0.0,189.3,-0.84,0.0,189.3,168.76,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,07:30-08:00,7166.119,27.39,0.0,235.05,-1.12,0.0,235.05,169.98,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,08:00-08:30,7259.724,152.76,0.0,234.89,-1.14,0.0,234.89,171.07,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,08:30-09:00,7346.788,221.44,0.0,239.27,-1.22,0.0,239.27,172.38,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,09:00-09:30,7374.764,307.35,0.0,227.21,-1.15,0.0,227.21,173.56,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,09:30-10:00,7426.905,356.63,0.0,1208.2,-6.54,0.0,1208.2,195.49,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,10:00-10:30,7317.326,503.42,0.0,552.79,-2.99,0.0,552.79,203.64,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,10:30-11:00,7130.121,709.78,0.0,182.98,-0.87,0.0,182.98,204.3,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,11:00-11:30,6979.436,859.7,0.0,176.97,-0.88,0.0,176.97,204.75,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,11:30-12:00,6802.861,993.0,0.0,172.87,-0.86,0.0,172.87,205.28,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,12:00-12:30,6961.723,830.48,0.0,179.71,-0.89,0.0,179.71,206.24,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,12:30-13:00,6973.979,810.93,0.0,182.07,-0.9,0.0,182.07,207.25,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,13:00-13:30,6754.936,991.46,0.0,172.95,-0.86,0.0,172.95,207.8,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,13:30-14:00,7075.073,659.39,0.0,184.52,-0.88,0.0,184.52,208.49,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,14:00-14:30,7266.065,532.65,0.0,228.4,-1.09,0.0,228.4,210.15,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,14:30-15:00,7204.104,603.34,0.0,205.45,-0.99,0.0,205.45,211.53,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,15:00-15:30,7448.385,341.93,0.0,243.78,-1.3,0.0,243.78,213.58,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,15:30-16:00,7532.448,244.48,0.0,272.32,-1.5,0.0,272.32,216.35,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,16:00-16:30,7607.882,187.53,0.0,286.16,-1.59,0.0,286.16,219.21,706.77,No,18 May 2026 11:31:30 PM
18-May-2026,16:30-17:00,7577.406,223.79,0.0,243.4,-1.33,0.0,243.4,221.13,706.77,No,18 May 2026 11:31:30 PM
