Date,Period,Demand (MW),Solar (MW),TCL (MW),USEP ($/MWh),EHEUR ($/MWh),LCP ($/MWh),RUSEP ($/MWh),MAP ($/MWh),MAPT ($/MWh),TPC Applied,Last Updated,Unnamed: 0
18-Dec-2025,00:00-00:30,5932.252,0.0,0.0,78.34,-0.32,0.0,78.34,79.22,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,00:30-01:00,5814.98,0.0,0.0,78.19,-0.3,0.0,78.19,79.28,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,01:00-01:30,5756.309,0.0,0.0,78.35,-0.29,0.0,78.35,79.33,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,01:30-02:00,5691.117,0.0,0.0,78.22,-0.28,0.0,78.22,79.39,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,02:00-02:30,5639.852,0.0,0.0,75.83,-0.27,0.0,75.83,79.4,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,02:30-03:00,5595.564,0.0,0.0,75.42,-0.27,0.0,75.42,79.4,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,03:00-03:30,5561.733,0.0,0.0,75.42,-0.27,0.0,75.42,79.4,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,03:30-04:00,5552.037,0.0,0.0,75.35,-0.27,0.0,75.35,79.4,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,04:00-04:30,5557.837,0.0,0.0,75.42,-0.27,0.0,75.42,79.4,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,04:30-05:00,5582.249,0.0,0.0,75.52,-0.27,0.0,75.52,79.41,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,05:00-05:30,5671.014,0.0,0.0,79.04,-0.29,0.0,79.04,79.43,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,05:30-06:00,5820.73,0.0,0.0,79.96,-0.29,0.0,79.96,79.43,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,06:00-06:30,6003.606,0.0,0.0,79.97,-0.3,0.0,79.97,79.43,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,06:30-07:00,6193.594,0.0,0.0,80.21,-0.32,0.0,80.21,79.44,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,07:00-07:30,6386.003,1.74,0.0,81.62,-0.34,0.0,81.62,79.45,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,07:30-08:00,6595.309,12.6,0.0,87.32,-0.38,0.0,87.32,79.41,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,08:00-08:30,6736.343,86.74,0.0,88.13,-0.39,0.0,88.13,79.41,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,08:30-09:00,6758.454,179.11,0.0,83.63,-0.37,0.0,83.63,79.29,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,09:00-09:30,6769.14,245.14,0.0,80.25,-0.37,0.0,80.25,79.27,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,09:30-10:00,6580.861,470.71,0.0,75.56,-0.34,0.0,75.56,79.17,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,10:00-10:30,6470.92,619.34,0.0,73.37,-0.32,0.0,73.37,79.04,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,10:30-11:00,6353.27,716.46,0.0,71.52,-0.31,0.0,71.52,78.86,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,11:00-11:30,6382.946,696.07,0.0,72.91,-0.33,0.0,72.91,78.8,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,11:30-12:00,6334.384,703.75,0.0,72.5,-0.31,0.0,72.5,78.83,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,12:00-12:30,6291.364,761.11,0.0,71.51,-0.31,0.0,71.51,78.83,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,12:30-13:00,6274.401,791.87,0.0,71.44,-0.31,0.0,71.44,78.83,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,13:00-13:30,6426.324,703.65,0.0,72.77,-0.32,0.0,72.77,78.85,533.4,No,18 Dec 2025 11:31:31 PM,
18-Dec-2025,13:30-14:00,6492.838,681.0,0.0,73.09,-0.32,0.0,73.09,78.8,533.4,No,18 Dec 2025 11:31:31 PM,
